ts;person Id;event
1357205591.0;Up161;IN
1357205685.0;Up66;IN
1357205906.0;Up108;IN
1357205918.0;Up162;IN
1357205926.0;Up107;IN
1357206053.0;Up92;IN
1357206065.0;Up119;IN
1357206118.0;Up163;IN
1357206371.0;Up54;IN
1357206505.0;Up99;IN
1357206522.0;Up36;IN
1357206765.0;Up52;IN
1357206812.0;Up164;IN
1357206870.0;Up165;IN
1357206899.0;Up77;IN
1357206939.0;Up166;IN
1357206963.0;Up64;IN
1357206995.0;Up167;IN
1357207094.0;Up164;OUT
1357207335.0;Up168;IN
1357207369.0;Up10;IN
1357207494.0;Up24;IN
1357207625.0;Up169;IN
1357207833.0;Up170;IN
1357208057.0;Up171;IN
1357208417.0;Up57;OUT
1357208656.0;Up112;IN
1357208658.0;Up13;IN
1357208897.0;Up156;OUT
1357209366.0;Up83;IN
1357209541.0;Up97;IN
1357209651.0;Up172;IN
1357210040.0;Up173;IN
1357210180.0;Up135;IN
1357210543.0;Up174;IN
1357211535.0;Up121;IN
1357211937.0;Up137;OUT
1357212058.0;Up48;OUT
1357212074.0;Up125;IN
1357212195.0;Up101;IN
1357212244.0;Up169;OUT
1357212342.0;Up121;OUT
1357212647.0;Up57;IN
1357213114.0;Up166;OUT
1357215046.0;Up15;OUT
1357215134.0;Up74;OUT
1357215342.0;Up160;OUT
1357215704.0;Up95;IN
1357215716.0;Up77;OUT
1357215977.0;Up72;IN
1357216017.0;Up127;IN
1357216100.0;Up175;IN
1357216274.0;Up176;IN
1357216334.0;Up61;OUT
1357216394.0;Up40;OUT
1357216408.0;Up146;OUT
1357216412.0;Up150;OUT
1357216414.0;Up94;IN
1357216557.0;Up45;OUT
1357216735.0;Up147;OUT
1357216789.0;Up112;OUT
1357217311.0;Up137;IN
1357217526.0;Up131;IN
1357217680.0;Up166;IN
1357217681.0;Up177;IN
1357217723.0;Up178;IN
1357217777.0;Up179;IN
1357217780.0;Up177;OUT
1357217846.0;Up179;OUT
1357218057.0;Up119;OUT
1357218407.0;Up31;IN
1357218668.0;Up165;OUT
1357218727.0;Up180;IN
1357218804.0;Up148;OUT
1357218888.0;Up37;OUT
1357218921.0;Up76;OUT
1357218965.0;Up138;OUT
1357219063.0;Up92;OUT
1357219129.0;Up122;OUT
1357219150.0;Up101;OUT
1357219737.0;Up17;OUT
1357219925.0;Up116;IN
1357219927.0;Up56;OUT
1357220087.0;Up15;IN
1357220140.0;Up123;OUT
1357220460.0;Up181;IN
1357220599.0;Up105;IN
1357220757.0;Up32;IN
1357220826.0;Up6;IN
1357220945.0;Up182;IN
1357221000.0;Up45;IN
1357221098.0;Up90;IN
1357221110.0;Up183;IN
1357221554.0;Up40;IN
1357221694.0;Up160;IN
1357221761.0;Up184;IN
1357221874.0;Up114;IN
1357222061.0;Up112;IN
1357222132.0;Up146;IN
1357222189.0;Up67;IN
1357222378.0;Up179;IN
1357222379.0;Up130;OUT
1357222476.0;Up185;IN
1357222767.0;Up186;IN
1357222834.0;Up39;IN
1357222890.0;Up187;IN
1357222952.0;Up132;IN
1357223082.0;Up109;OUT
1357223129.0;Up61;IN
1357223248.0;Up119;IN
1357223558.0;Up56;IN
1357223817.0;Up51;IN
1357223824.0;Up153;OUT
1357224049.0;Up37;IN
1357224268.0;Up142;OUT
1357224678.0;Up92;IN
1357224770.0;Up122;IN
1357225451.0;Up77;IN
1357225762.0;Up17;IN
1357225769.0;Up166;OUT
1357225849.0;Up89;IN
1357226005.0;Up188;IN
1357226024.0;Up189;IN
1357226062.0;Up189;OUT
1357226924.0;Up190;IN
1357227088.0;Up128;OUT
1357227202.0;Up153;IN
1357227434.0;Up128;IN
1357227456.0;Up128;OUT
1357227759.0;Up191;IN
1357228025.0;Up76;IN
1357228123.0;Up192;IN
1357228151.0;Up66;OUT
1357228229.0;Up20;OUT
1357228275.0;Up107;OUT
1357228378.0;Up193;IN
1357228420.0;Up150;IN
1357228540.0;Up133;IN
1357228639.0;Up109;IN
1357228953.0;Up20;IN
1357229067.0;Up142;IN
1357229119.0;Up45;OUT
1357229308.0;Up96;OUT
1357229389.0;Up32;OUT
1357229678.0;Up65;OUT
1357230308.0;Up166;IN
1357230508.0;Up1;OUT
1357230609.0;Up185;OUT
1357230710.0;Up146;OUT
1357230872.0;Up31;OUT
1357230941.0;Up15;OUT
1357231016.0;Up184;OUT
1357231277.0;Up147;IN
1357231330.0;Up194;IN
1357231539.0;Up142;OUT
1357231701.0;Up83;OUT
1357231779.0;Up76;OUT
1357231918.0;Up47;OUT
1357232126.0;Up20;OUT
1357232212.0;Up193;OUT
1357232428.0;Up51;OUT
1357232645.0;Up178;OUT
1357232719.0;Up179;OUT
1357232765.0;Up154;OUT
1357232918.0;Up11;OUT
1357232992.0;Up28;OUT
1357233130.0;Up77;OUT
1357233181.0;Up36;OUT
1357233275.0;Up97;OUT
1357233419.0;Up148;IN
1357233634.0;Up119;OUT
1357233657.0;Up167;OUT
1357233749.0;Up141;OUT
1357233803.0;Up90;OUT
1357233830.0;Up172;OUT
1357234128.0;Up180;OUT
1357234294.0;Up166;OUT
1357234304.0;Up147;OUT
1357234312.0;Up30;OUT
1357234410.0;Up150;OUT
1357234482.0;Up183;OUT
1357234748.0;Up127;OUT
1357234760.0;Up191;OUT
1357234944.0;Up6;OUT
1357235045.0;Up86;OUT
1357235058.0;Up33;OUT
1357235269.0;Up14;OUT
1357235290.0;Up112;OUT
1357235549.0;Up157;OUT
1357235660.0;Up54;OUT
1357235758.0;Up89;OUT
1357235938.0;Up57;OUT
1357235991.0;Up61;OUT
1357236171.0;Up136;OUT
1357236279.0;Up60;OUT
1357236398.0;Up158;OUT
1357236469.0;Up20;IN
1357236557.0;Up175;OUT
1357236566.0;Up143;OUT
1357236617.0;Up6;IN
1357237205.0;Up49;OUT
1357237293.0;Up130;IN
1357237572.0;Up187;OUT
1357237846.0;Up100;OUT
1357237983.0;Up120;OUT
1357238480.0;Up155;OUT
1357238586.0;Up156;IN
1357238704.0;Up40;OUT
1357238724.0;Up24;OUT
1357238856.0;Up68;OUT
1357238866.0;Up162;OUT
1357238907.0;Up43;OUT
1357239001.0;Up138;IN
1357239210.0;Up79;OUT
1357239414.0;Up195;IN
1357239772.0;Up71;OUT
1357239864.0;Up10;OUT
1357239885.0;Up52;OUT
1357239942.0;Up123;IN
1357240030.0;Up122;OUT
1357240080.0;Up105;OUT
1357240139.0;Up133;OUT
1357240241.0;Up92;OUT
1357240320.0;Up64;OUT
1357240579.0;Up34;OUT
1357240851.0;Up123;OUT
1357240992.0;Up99;OUT
1357241145.0;Up173;OUT
1357241410.0;Up6;OUT
1357241693.0;Up18;OUT
1357241855.0;Up58;OUT
1357241950.0;Up58;IN
1357242012.0;Up125;OUT
1357242299.0;Up182;OUT
1357242301.0;Up168;OUT
1357242416.0;Up171;OUT
1357242599.0;Up53;OUT
1357242665.0;Up170;OUT
1357242806.0;Up67;OUT
1357243104.0;Up23;OUT
1357243270.0;Up94;OUT
1357243548.0;Up156;OUT
1357243671.0;Up108;OUT
1357243967.0;Up186;OUT
1357244034.0;Up113;OUT
1357244178.0;Up72;OUT
1357245208.0;Up149;OUT
1357245647.0;Up138;OUT
1357245834.0;Up92;IN
1357245859.0;Up55;OUT
1357246010.0;Up92;OUT
1357246093.0;Up7;OUT
1357246221.0;Up58;OUT
1357247672.0;Up4;OUT
1357250392.0;Up196;IN
1357256477.0;Up8;IN
1357259884.0;Up192;OUT
1357272510.0;Up196;OUT
1357283591.0;Up10;IN
1357284056.0;Up11;IN
1357285027.0;Up2;OUT
1357285083.0;Up13;OUT
1357285353.0;Up2;IN
1357285610.0;Up136;IN
1357286234.0;Up15;IN
1357286428.0;Up4;IN
1357286599.0;Up111;IN
1357286606.0;Up18;IN
1357287134.0;Up185;IN
1357287580.0;Up45;IN
1357287834.0;Up51;IN
1357287920.0;Up197;IN
1357287997.0;Up142;IN
1357288004.0;Up123;IN
1357288203.0;Up31;IN
1357288262.0;Up198;IN
1357288408.0;Up122;IN
1357288812.0;Up30;IN
1357288949.0;Up143;IN
1357289016.0;Up199;IN
1357289089.0;Up29;IN
1357289092.0;Up102;OUT
1357289102.0;Up200;IN
1357289274.0;Up49;IN
1357289291.0;Up201;IN
1357289480.0;Up175;IN
1357289584.0;Up19;IN
1357289723.0;Up202;IN
1357289726.0;Up203;IN
1357289786.0;Up25;IN
1357289914.0;Up33;IN
1357290013.0;Up187;IN
1357290084.0;Up40;IN
1357290100.0;Up103;IN
1357290113.0;Up28;IN
1357290122.0;Up204;IN
1357290258.0;Up150;IN
1357290333.0;Up43;IN
1357290371.0;Up146;IN
1357290501.0;Up158;IN
1357290704.0;Up53;IN
1357290725.0;Up154;IN
1357290793.0;Up22;IN
1357290818.0;Up48;IN
1357290927.0;Up149;IN
1357290953.0;Up61;IN
1357291016.0;Up23;IN
1357291023.0;Up170;IN
1357291361.0;Up41;IN
1357291430.0;Up107;IN
1357291489.0;Up76;IN
1357291546.0;Up166;IN
1357291610.0;Up46;IN
1357291672.0;Up66;IN
1357291705.0;Up36;IN
1357291750.0;Up79;IN
1357291898.0;Up205;IN
1357292029.0;Up96;IN
1357292097.0;Up6;IN
1357292099.0;Up118;OUT
1357292185.0;Up112;IN
1357292257.0;Up63;IN
1357292273.0;Up119;IN
1357292379.0;Up206;IN
1357292385.0;Up108;IN
1357292472.0;Up207;IN
1357292559.0;Up58;IN
1357292629.0;Up208;IN
1357292687.0;Up55;IN
1357292717.0;Up20;OUT
1357292792.0;Up119;OUT
1357292977.0;Up20;IN
1357293158.0;Up24;IN
1357293311.0;Up120;IN
1357293404.0;Up82;IN
1357293640.0;Up64;IN
1357293763.0;Up78;IN
1357293830.0;Up97;IN
1357294030.0;Up100;IN
1357294299.0;Up167;IN
1357294481.0;Up209;IN
1357294553.0;Up60;IN
1357294614.0;Up60;OUT
1357294761.0;Up210;IN
1357294822.0;Up107;OUT
1357294874.0;Up168;IN
1357294990.0;Up128;IN
1357295211.0;Up94;IN
1357295257.0;Up75;IN
1357295334.0;Up44;IN
1357295823.0;Up121;IN
1357295994.0;Up72;IN
1357296130.0;Up109;OUT
1357296302.0;Up173;IN
1357296348.0;Up121;OUT
1357296764.0;Up211;IN
1357296973.0;Up110;IN
1357297018.0;Up157;IN
1357297048.0;Up212;IN
1357297139.0;Up213;IN
1357297282.0;Up25;OUT
1357297326.0;Up180;IN
1357297917.0;Up20;OUT
1357298030.0;Up180;OUT
1357298621.0;Up78;OUT
1357299646.0;Up113;IN
1357299839.0;Up150;OUT
1357300006.0;Up90;IN
1357300726.0;Up101;IN
1357300750.0;Up170;OUT
1357300830.0;Up91;IN
1357300870.0;Up17;OUT
1357300918.0;Up51;OUT
1357301092.0;Up210;OUT
1357301174.0;Up39;OUT
1357301469.0;Up38;IN
1357301488.0;Up31;OUT
1357301498.0;Up68;IN
1357301561.0;Up15;OUT
1357301838.0;Up145;OUT
1357302045.0;Up126;IN
1357302335.0;Up135;OUT
1357302572.0;Up106;IN
1357302682.0;Up105;IN
1357302874.0;Up39;IN
1357303357.0;Up146;OUT
1357303387.0;Up172;IN
